Date,Open,High,Low,Close,Adj Close,Volume
1997-05-28,18000000,18000000,17750000,17750000,16485405,1600
1997-05-29,18125000,18875000,17625000,18375000,17065874,39300
1997-05-30,18375000,18375000,17500000,17875000,16601496,10200
1997-06-02,18250000,18250000,17750000,18250000,16949781,9200
1997-06-03,18250000,18250000,17750000,18000000,16717588,10000
1997-06-04,18250000,18500000,18000000,18500000,17181967,192300
1997-06-05,18500000,19250000,18250000,18250000,16949781,144400
1997-06-06,18750000,19500000,18250000,19500000,18110723,44000
1997-06-09,19750000,20750000,19000000,20750000,19271671,17400
1997-06-10,20750000,21000000,20250000,20250000,18807285,20000
1997-06-11,20250000,21000000,20250000,20750000,19271671,7200
1997-06-12,21000000,21000000,20500000,20500000,19039478,8700
1997-06-13,20500000,21000000,20500000,21000000,19503860,13300
1997-06-16,20875000,21750000,20750000,21250000,19736048,44600
1997-06-17,21250000,21750000,21250000,21750000,20200424,9500
1997-06-18,21750000,21750000,21250000,21250000,19736048,8900
1997-06-19,21750000,22000000,21250000,22000000,20432615,10200
1997-06-20,22000000,22750000,21250000,22000000,20432615,34200
1997-06-23,22000000,22500000,21750000,22000000,20432615,15900
1997-06-24,22000000,22500000,21750000,21875000,20316509,9600
1997-06-25,22250000,22250000,21875000,22000000,20432615,8600
1997-06-26,21625000,22250000,21625000,22000000,20432615,3400
1997-06-27,21625000,22250000,21625000,22250000,20664801,3900
1997-06-30,21750000,22000000,21250000,21750000,20200424,42100
1997-07-01,21250000,22000000,21250000,21250000,19736048,10100
1997-07-02,21750000,21750000,21250000,21500000,19968237,5800
1997-07-03,21750000,21750000,21375000,21500000,19968237,4100
1997-07-07,21375000,21750000,21250000,21375000,19852142,34600
1997-07-08,21250000,22375000,21000000,22375000,20780895,67800
1997-07-09,22250000,22625000,22000000,22625000,21013084,10700
1997-07-10,22000000,22750000,22000000,22750000,21129181,206300
1997-07-11,22750000,22750000,22000000,22375000,20780895,9400
1997-07-14,22750000,22750000,22000000,22000000,20432615,38000
1997-07-15,22750000,22750000,20500000,21625000,20084320,81000
1997-07-16,20750000,21500000,20750000,21250000,19736048,85900
1997-07-17,21500000,22000000,21250000,21375000,19852142,13900
1997-07-18,21375000,22000000,21375000,22000000,20432615,9200
1997-07-21,22000000,22000000,20750000,21250000,19736048,64700
1997-07-22,20750000,21250000,20750000,21000000,19503860,9800
1997-07-23,21250000,21625000,20750000,21250000,19736048,131000
1997-07-24,21625000,21625000,21000000,21000000,19503860,34700
1997-07-25,20750000,21500000,20750000,21500000,19968237,16800
1997-07-28,20750000,21500000,20500000,20625000,19155577,60500
1997-07-29,20875000,22000000,20875000,21375000,19852142,107600
1997-07-30,21750000,21750000,21125000,21375000,19852142,26100
1997-07-31,21000000,22000000,21000000,21625000,20084320,27000
1997-08-01,21625000,21625000,21250000,21250000,19736048,3500
1997-08-04,21625000,22000000,21250000,21250000,19736048,5800
1997-08-05,21375000,21500000,21250000,21500000,19968237,22100
1997-08-06,21750000,22250000,21250000,22000000,20432615,71900
1997-08-07,21750000,22250000,21750000,21750000,20200424,4400
1997-08-08,21750000,22250000,21750000,22250000,20664801,3000
1997-08-11,22250000,22375000,21500000,22375000,20780895,7900
1997-08-12,22000000,22062500,21625000,22000000,20432615,10400
1997-08-13,22000000,22000000,21500000,21500000,19968237,19800
1997-08-14,22000000,22000000,21500000,21625000,20084320,231900
1997-08-15,21500000,22250000,21500000,22125000,20548704,5100
1997-08-18,21750000,22375000,21750000,22000000,20432615,22300
1997-08-19,21500000,22000000,21500000,22000000,20432615,2500
1997-08-20,21500000,22000000,21500000,22000000,20432615,1900
1997-08-21,21500000,22000000,21500000,22000000,20432615,700
1997-08-22,22000000,22000000,21500000,22000000,20432615,4500
1997-08-25,22000000,22000000,22000000,22000000,20432615,1000
1997-08-26,21750000,22000000,21750000,21875000,20316509,21400
1997-08-27,21500000,22000000,21500000,21875000,20316509,1300
1997-08-28,21500000,21750000,21500000,21500000,19968237,57900
1997-08-29,21500000,22000000,21500000,21500000,19968237,2100
1997-09-02,21500000,21500000,21500000,21500000,19968237,2600
1997-09-03,21500000,21750000,21500000,21625000,20084320,16700
1997-09-04,21500000,21750000,21500000,21562500,20026283,50500
1997-09-05,21750000,21750000,21500000,21500000,19968237,13400
1997-09-08,21500000,22000000,21500000,22000000,20432615,16600
1997-09-09,21500000,22250000,21500000,22000000,20432615,9800
1997-09-10,21500000,22125000,21500000,22125000,20548704,6200
1997-09-11,21812500,22187500,21750000,21750000,20200424,6600
1997-09-12,21968700,22187500,21750000,21750000,20200424,34800
1997-09-15,21625000,22125000,21625000,21625000,20084320,152100
1997-09-16,19250000,19750000,16250000,17000000,15788838,441400
1997-09-17,17375000,17375000,16625000,16750000,15556649,491800
1997-09-18,17000000,18375000,16750000,18062500,16775637,403400
1997-09-19,18750000,18750000,18000000,18500000,17181967,43200
1997-09-22,18250000,18750000,18250000,18500000,17181967,63800
1997-09-23,18000000,18312500,17625000,17750000,16485405,12700
1997-09-24,18125000,18125000,17625000,18125000,16833687,7800
1997-09-25,18125000,18125000,17625000,17625000,16369308,2400
1997-09-26,18125000,18125000,17500000,17500000,16253212,13000
1997-09-29,17500000,18250000,17500000,17500000,16253212,4300
1997-09-30,17500000,17750000,17500000,17500000,16253212,21000
1997-10-01,17562500,17562500,17250000,17500000,16253212,4800
1997-10-02,17500000,17500000,17250000,17437500,16195166,6800
1997-10-03,17125000,17500000,17125000,17375000,16137123,167700
1997-10-06,17125000,17375000,17000000,17250000,16021025,57600
1997-10-07,17000000,17500000,17000000,17250000,16021025,93700
1997-10-08,17375000,17375000,17000000,17250000,16021025,177300
1997-10-09,17125000,18000000,16875000,17375000,16137123,66300
1997-10-10,17250000,17875000,17250000,17375000,16137123,49800
1997-10-13,17500000,17625000,17250000,17437500,16195166,9200
1997-10-14,17250000,17250000,16500000,16625000,15440549,27300
1997-10-15,17250000,17500000,16500000,17125000,15904932,13400
1997-10-16,17375000,17500000,17187500,17187500,15962985,13600
1997-10-17,17187500,17750000,17000000,17750000,16485405,5800
1997-10-20,17750000,17875000,17375000,17750000,16485405,11500
1997-10-21,17875000,18000000,17750000,18000000,16717588,4900
1997-10-22,18000000,18000000,17750000,17750000,16485405,1300
